issue_type,row_ids,detail
MEDIUM_CONFIDENCE_DUPLICATE,184;210,"'Paul University, Awka - Anambra State' vs 'Legacy University, Okija Anambra State', ratio=0.82, states: Anambra / Anambra."
MEDIUM_CONFIDENCE_DUPLICATE,184;251,"'Paul University, Awka - Anambra State' vs 'Peter University, Achina-Onneh Anambra State', ratio=0.76, states: Anambra / Anambra."
MEDIUM_CONFIDENCE_DUPLICATE,210;278,"'Legacy University, Okija Anambra State' vs 'Shanahan University Onitsha, Anambra State', ratio=0.75, states: Anambra / Anambra."
MEDIUM_CONFIDENCE_DUPLICATE,223;294,"'Trinity University Ogun State' vs 'New City University, Ayetoro, Ogun State', ratio=0.75, states: Ogun / Ogun."
MEDIUM_CONFIDENCE_DUPLICATE,835;900,"'Aliko Dangote College of Nursing & Midwifery, Bauchi, Bauchi State' vs 'Malikiya College of Nursing Sciences, Bauchi, Bauchi State.', ratio=0.80, states: Bauchi / Bauchi."
MEDIUM_CONFIDENCE_DUPLICATE,900;902,"'Malikiya College of Nursing Sciences, Bauchi, Bauchi State.' vs 'Al-Huda College of Nursing Sciences, Bauchi', ratio=0.77, states: Bauchi / Bauchi."
MEDIUM_CONFIDENCE_DUPLICATE,597;656,"'Nigerian Army School of Finance and Administration, Apapa, Lagos' vs 'Nigerian Army School of Signals, Apapa, Lagos', ratio=0.77, states: Lagos / Lagos."
HIGH_CONFIDENCE_DUPLICATE,598;611,"'Nigerian Navy College of Accounts & Finance Owerrinta, Abia State' vs 'Nigerian Navy College of Accounts and Finance Owerrinta, Abia State', ratio=0.97, states: Abia / Abia."
MEDIUM_CONFIDENCE_DUPLICATE,336;715,"'Nigerian Army College of Environmental Science and Technology, Makurdi' vs 'Nazareth College of Health Science and Technology, Makurdi', ratio=0.80, states: Benue / unknown."
MEDIUM_CONFIDENCE_DUPLICATE,457;608,"'Intercontinental College of Technology, Makurdi, Benue State' vs 'International College of Technology, Makurdi, Benue State', ratio=0.91, states: Benue / Benue."
MEDIUM_CONFIDENCE_DUPLICATE,580;581,"'Federal Training Centre, Kaduna' vs 'Federal Training Centre, Maiduguri', ratio=0.86, states: Kaduna / unknown."
MEDIUM_CONFIDENCE_DUPLICATE,581;621,"'Federal Training Centre, Maiduguri' vs 'Federal Training Centre, Calabar', ratio=0.82, states: unknown / Cross River."
MEDIUM_CONFIDENCE_DUPLICATE,581;632,"'Federal Training Centre, Maiduguri' vs 'Federal Training Centre, Enugu', ratio=0.88, states: unknown / Enugu."
MEDIUM_CONFIDENCE_DUPLICATE,581;652,"'Federal Training Centre, Maiduguri' vs 'Federal Training Centre, Ilorin', ratio=0.86, states: unknown / Kwara."
MEDIUM_CONFIDENCE_DUPLICATE,581;654,"'Federal Training Centre, Maiduguri' vs 'Federal Training Centre, Ikoyi', ratio=0.84, states: unknown / Lagos."
MEDIUM_CONFIDENCE_DUPLICATE,381;382,"'Delta State Polytechnic, Ogwashi-Uku' vs 'Delta State Polytechnic, Otefe-Oghara', ratio=0.77, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,916;918,"'Anchor College of Nursing Sciences, Asaba, Delta State' vs 'Delta College of Nursing Sciences Agbor Campus Delta State.', ratio=0.79, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,916;919,"'Anchor College of Nursing Sciences, Asaba, Delta State' vs 'Delta State College of Nursing Sciences Asaba Campus Delta State.', ratio=0.80, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,916;921,"'Anchor College of Nursing Sciences, Asaba, Delta State' vs 'Delta State College of Nursing Sciences Sapele Campus Delta State.', ratio=0.76, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,916;928,"'Anchor College of Nursing Sciences, Asaba, Delta State' vs 'Soarster College of Nursing Science, Asaba, Delta State', ratio=0.90, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,917;918,"'Delta State College of Nursing Sciences, Agbor Campus' vs 'Delta College of Nursing Sciences Agbor Campus Delta State.', ratio=0.83, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,917;919,"'Delta State College of Nursing Sciences, Agbor Campus' vs 'Delta State College of Nursing Sciences Asaba Campus Delta State.', ratio=0.84, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,917;920,"'Delta State College of Nursing Sciences, Agbor Campus' vs 'Delta State College of Nursing Sciences Warri Campus Delta State.', ratio=0.84, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,917;921,"'Delta State College of Nursing Sciences, Agbor Campus' vs 'Delta State College of Nursing Sciences Sapele Campus Delta State.', ratio=0.81, states: Delta / Delta."
POSSIBLE_MULTI_CAMPUS,917;922,"'Delta State College of Nursing Sciences, Agbor Campus' vs 'Delta State College of Nursing Sciences, Warri Campus', differs only by a campus/branch word. Confirm by hand."
POSSIBLE_MULTI_CAMPUS,917;923,"'Delta State College of Nursing Sciences, Agbor Campus' vs 'Delta State College of Nursing Sciences, Eku Campus', differs only by a campus/branch word. Confirm by hand."
POSSIBLE_MULTI_CAMPUS,917;924,"'Delta State College of Nursing Sciences, Agbor Campus' vs 'Delta State College of Nursing Sciences, Asaba Campus', differs only by a campus/branch word. Confirm by hand."
MEDIUM_CONFIDENCE_DUPLICATE,918;919,"'Delta College of Nursing Sciences Agbor Campus Delta State.' vs 'Delta State College of Nursing Sciences Asaba Campus Delta State.', ratio=0.90, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,918;920,"'Delta College of Nursing Sciences Agbor Campus Delta State.' vs 'Delta State College of Nursing Sciences Warri Campus Delta State.', ratio=0.90, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,918;921,"'Delta College of Nursing Sciences Agbor Campus Delta State.' vs 'Delta State College of Nursing Sciences Sapele Campus Delta State.', ratio=0.88, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,918;922,"'Delta College of Nursing Sciences Agbor Campus Delta State.' vs 'Delta State College of Nursing Sciences, Warri Campus', ratio=0.77, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,918;923,"'Delta College of Nursing Sciences Agbor Campus Delta State.' vs 'Delta State College of Nursing Sciences, Eku Campus', ratio=0.75, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,918;924,"'Delta College of Nursing Sciences Agbor Campus Delta State.' vs 'Delta State College of Nursing Sciences, Asaba Campus', ratio=0.77, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,918;928,"'Delta College of Nursing Sciences Agbor Campus Delta State.' vs 'Soarster College of Nursing Science, Asaba, Delta State', ratio=0.78, states: Delta / Delta."
POSSIBLE_MULTI_CAMPUS,919;920,"'Delta State College of Nursing Sciences Asaba Campus Delta State.' vs 'Delta State College of Nursing Sciences Warri Campus Delta State.', differs only by a campus/branch word. Confirm by hand."
POSSIBLE_MULTI_CAMPUS,919;921,"'Delta State College of Nursing Sciences Asaba Campus Delta State.' vs 'Delta State College of Nursing Sciences Sapele Campus Delta State.', differs only by a campus/branch word. Confirm by hand."
MEDIUM_CONFIDENCE_DUPLICATE,919;922,"'Delta State College of Nursing Sciences Asaba Campus Delta State.' vs 'Delta State College of Nursing Sciences, Warri Campus', ratio=0.82, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,919;923,"'Delta State College of Nursing Sciences Asaba Campus Delta State.' vs 'Delta State College of Nursing Sciences, Eku Campus', ratio=0.82, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,919;924,"'Delta State College of Nursing Sciences Asaba Campus Delta State.' vs 'Delta State College of Nursing Sciences, Asaba Campus', ratio=0.89, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,919;928,"'Delta State College of Nursing Sciences Asaba Campus Delta State.' vs 'Soarster College of Nursing Science, Asaba, Delta State', ratio=0.82, states: Delta / Delta."
POSSIBLE_MULTI_CAMPUS,920;921,"'Delta State College of Nursing Sciences Warri Campus Delta State.' vs 'Delta State College of Nursing Sciences Sapele Campus Delta State.', differs only by a campus/branch word. Confirm by hand."
MEDIUM_CONFIDENCE_DUPLICATE,920;922,"'Delta State College of Nursing Sciences Warri Campus Delta State.' vs 'Delta State College of Nursing Sciences, Warri Campus', ratio=0.89, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,920;923,"'Delta State College of Nursing Sciences Warri Campus Delta State.' vs 'Delta State College of Nursing Sciences, Eku Campus', ratio=0.82, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,920;924,"'Delta State College of Nursing Sciences Warri Campus Delta State.' vs 'Delta State College of Nursing Sciences, Asaba Campus', ratio=0.82, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,920;928,"'Delta State College of Nursing Sciences Warri Campus Delta State.' vs 'Soarster College of Nursing Science, Asaba, Delta State', ratio=0.77, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,921;922,"'Delta State College of Nursing Sciences Sapele Campus Delta State.' vs 'Delta State College of Nursing Sciences, Warri Campus', ratio=0.81, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,921;923,"'Delta State College of Nursing Sciences Sapele Campus Delta State.' vs 'Delta State College of Nursing Sciences, Eku Campus', ratio=0.83, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,921;924,"'Delta State College of Nursing Sciences Sapele Campus Delta State.' vs 'Delta State College of Nursing Sciences, Asaba Campus', ratio=0.83, states: Delta / Delta."
MEDIUM_CONFIDENCE_DUPLICATE,921;928,"'Delta State College of Nursing Sciences Sapele Campus Delta State.' vs 'Soarster College of Nursing Science, Asaba, Delta State', ratio=0.78, states: Delta / Delta."
